,region,topic_order,importance,topic_name,top_words,abs_imp,base_rate,n_topics,r2,voxels,Color
188,5,8,-0.0013855422522214577,topic16,individuals cognitive individual,0.0013855422522214577,0.017846203462861393,60,0.12466105448377944,3723,0.13559322033898305
194,5,14,-0.001178577820845968,topic21,human humans organization,0.001178577820845968,0.017846203462861393,60,0.12466105448377944,3723,0.23728813559322035
195,5,15,0.003618146529831186,topic22,network role evidence,0.003618146529831186,0.017846203462861393,60,0.12466105448377944,3723,0.2542372881355932
198,5,18,-0.0025294601750371656,topic25,network resting default,0.0025294601750371656,0.017846203462861393,60,0.12466105448377944,3723,0.3050847457627119
200,5,20,0.0011309596204384185,topic27,sentences comprehension sentence,0.0011309596204384185,0.017846203462861393,60,0.12466105448377944,3723,0.3389830508474576
202,5,22,-0.0026385069126800336,topic29,reward anticipation monetary,0.0026385069126800336,0.017846203462861393,60,0.12466105448377944,3723,0.3728813559322034
205,5,25,0.00036976752695034497,topic31,pd controls disease,0.00036976752695034497,0.017846203462861393,60,0.12466105448377944,3723,0.423728813559322
213,5,33,0.003888423659292997,topic39,conflict interference control,0.003888423659292997,0.017846203462861393,60,0.12466105448377944,3723,0.559322033898305
215,5,35,0.0028757286062095315,topic40,semantic words word,0.0028757286062095315,0.017846203462861393,60,0.12466105448377944,3723,0.5932203389830508
217,5,37,0.0013643582280188265,topic42,time sustained delay,0.0013643582280188265,0.017846203462861393,60,0.12466105448377944,3723,0.6271186440677966
225,5,45,0.003977618486322291,topic5,reasoning rule rules,0.003977618486322291,0.017846203462861393,60,0.12466105448377944,3723,0.7627118644067796
228,5,48,-0.00012609178325349968,topic52,asd autism social,0.00012609178325349968,0.017846203462861393,60,0.12466105448377944,3723,0.8135593220338984
229,5,49,-0.0017362328783838512,topic53,food taste body,0.0017362328783838512,0.017846203462861393,60,0.12466105448377944,3723,0.8305084745762712
230,5,50,-0.000793303277998849,topic54,age adults children,0.000793303277998849,0.017846203462861393,60,0.12466105448377944,3723,0.847457627118644
237,5,57,-4.228737999809797e-05,topic7,spatial location mental,4.228737999809797e-05,0.017846203462861393,60,0.12466105448377944,3723,0.9661016949152542
239,5,59,0.00022267688921260198,topic9,repetition priming hearing,0.00022267688921260198,0.017846203462861393,60,0.12466105448377944,3723,1.0
248,6,8,-9.596951403464477e-05,topic16,individuals cognitive individual,9.596951403464477e-05,0.04862069916920265,60,0.0764766036018664,1167,0.13559322033898305
254,6,14,-7.414594455607837e-07,topic21,human humans organization,7.414594455607837e-07,0.04862069916920265,60,0.0764766036018664,1167,0.23728813559322035
255,6,15,0.00025343176145105947,topic22,network role evidence,0.00025343176145105947,0.04862069916920265,60,0.0764766036018664,1167,0.2542372881355932
258,6,18,0.00038639996121939217,topic25,network resting default,0.00038639996121939217,0.04862069916920265,60,0.0764766036018664,1167,0.3050847457627119
260,6,20,-0.0004642516177821266,topic27,sentences comprehension sentence,0.0004642516177821266,0.04862069916920265,60,0.0764766036018664,1167,0.3389830508474576
262,6,22,0.0008146051072517369,topic29,reward anticipation monetary,0.0008146051072517369,0.04862069916920265,60,0.0764766036018664,1167,0.3728813559322034
265,6,25,0.00014223392099893406,topic31,pd controls disease,0.00014223392099893406,0.04862069916920265,60,0.0764766036018664,1167,0.423728813559322
273,6,33,-8.15644650025387e-05,topic39,conflict interference control,8.15644650025387e-05,0.04862069916920265,60,0.0764766036018664,1167,0.559322033898305
275,6,35,6.0690830160461664e-05,topic40,semantic words word,6.0690830160461664e-05,0.04862069916920265,60,0.0764766036018664,1167,0.5932203389830508
277,6,37,-2.5940246988568953e-05,topic42,time sustained delay,2.5940246988568953e-05,0.04862069916920265,60,0.0764766036018664,1167,0.6271186440677966
